DOI,Title,ISSN
10.1234/altmetric0,Small Wooden Chair,1337-8688
10.1234/altmetric100,Ergonomic Rubber Shirt,2542-5856
10.1234/altmetric103,Fantastic Granite Computer,3775-0307
10.1234/altmetric11,Awesome Steel Chair,1011-2513
10.1234/altmetric113,Incredible Cotton Car,1394-1363
10.1234/altmetric115,Ergonomic Steel Gloves,7744-7394
10.1234/altmetric117,Ergonomic Steel Shirt,5624-7424
10.1234/altmetric118,Gorgeous Cotton Chair,68178437
10.1234/altmetric119,Awesome Wooden Shoes,84475341
10.1234/altmetric119,Rustic Rubber Chair,2330-6361
10.1234/altmetric121,Intelligent Concrete Shoes,8151-0432
10.1234/altmetric124,Ergonomic Plastic Gloves,3151-1811
10.1234/altmetric127,Incredible Steel Gloves,2447-3901
10.1234/altmetric127,Incredible Wooden Car,10615642
10.1234/altmetric129,Gorgeous Plastic Computer,2172-8744
10.1234/altmetric13,Sleek Plastic Gloves,0711-5119
10.1234/altmetric133,Incredible Rubber Car,2852-4351
10.1234/altmetric135,Small Plastic Computer,4457-7885
10.1234/altmetric136,Rustic Concrete Gloves,5185-8518
10.1234/altmetric139,Awesome Plastic Hat,6263-8718
10.1234/altmetric139,Sleek Concrete Table,7486-7537
10.1234/altmetric140,Awesome Plastic Shoes,7126-8933
10.1234/altmetric140,Practical Wooden Shirt,3574-8397
10.1234/altmetric142,Awesome Granite Shoes,9865-2746
10.1234/altmetric145,Fantastic Plastic Car,4321-6136
10.1234/altmetric146,Sleek Plastic Shirt,5244-2255
10.1234/altmetric147,Ergonomic Steel Car,2838-4244
10.1234/altmetric150,Incredible Wooden Pants,6351-3231
10.1234/altmetric150,Rustic Steel Computer,8930-2501
10.1234/altmetric153,Awesome Wooden Pants,9822-9395
10.1234/altmetric153,Intelligent Steel Shirt,1286-4993
10.1234/altmetric155,Rustic Plastic Pants,9667-8162
10.1234/altmetric156,Fantastic Plastic Chair,8768-8891
10.1234/altmetric156,Gorgeous Concrete Table,3760-2228
10.1234/altmetric156,Sleek Plastic Chair,2781-6347
10.1234/altmetric158,Ergonomic Plastic Pants,7641-5567
10.1234/altmetric16,Practical Wooden Shoes,7651-7893
10.1234/altmetric16,Rustic Wooden Shirt,1855-3425
10.1234/altmetric160,Practical Wooden Shirt,3119-7753
10.1234/altmetric161,Practical Cotton Pants,4352-4478
10.1234/altmetric163,Awesome Cotton Gloves,8743-5081
10.1234/altmetric164,Ergonomic Cotton Gloves,4336-8427
10.1234/altmetric165,Gorgeous Steel Table,9749-4418
10.1234/altmetric165,Intelligent Wooden Chair,6457-7841
10.1234/altmetric167,Fantastic Granite Computer,3516-3718
10.1234/altmetric167,Small Granite Car,0015-8878
10.1234/altmetric168,Awesome Cotton Chair,12577716
10.1234/altmetric168,Ergonomic Plastic Chair,34230440
10.1234/altmetric17,Small Plastic Table,9670-3728
10.1234/altmetric171,Awesome Plastic Car,9275-2941
10.1234/altmetric172,Intelligent Cotton Gloves,0736-8516
10.1234/altmetric175,Sleek Plastic Shirt,2822-9396
10.1234/altmetric176,Ergonomic Steel Chair,3394-4393
10.1234/altmetric177,Incredible Steel Pants,4814-7191
10.1234/altmetric179,Awesome Wooden Shirt,4361-4534
10.1234/altmetric179,Ergonomic Steel Gloves,6263-8718
10.1234/altmetric179,Sleek Rubber Car,4098-0477
10.1234/altmetric180,Fantastic Concrete Hat,4932-5361
10.1234/altmetric180,Small Plastic Shirt,1304-8547
10.1234/altmetric186,Awesome Concrete Hat,32533273
10.1234/altmetric186,Intelligent Plastic Pants,1085-4412
10.1234/altmetric189,Incredible Cotton Table,3124-3083
10.1234/altmetric194,Fantastic Rubber Gloves,6888-1677
10.1234/altmetric194,Small Cotton Pants,6342-6190
10.1234/altmetric198,Fantastic Rubber Hat,7826-6161
10.1234/altmetric198,Intelligent Plastic Hat,1117-0179
10.1234/altmetric198,Sleek Concrete Gloves,8506-6012
10.1234/altmetric199,Intelligent Rubber Computer,7178-0841
10.1234/altmetric200,Intelligent Concrete Table,2365-1917
10.1234/altmetric201,Gorgeous Concrete Table,07115119
10.1234/altmetric207,Intelligent Concrete Computer,1636-9622
10.1234/altmetric209,Sleek Wooden Pants,8402-8565
10.1234/altmetric21,Rustic Steel Shirt,7247-8258
10.1234/altmetric214,Practical Concrete Gloves,4732-3783
10.1234/altmetric216,Ergonomic Cotton Shirt,0711-5119
10.1234/altmetric216,Fantastic Plastic Shoes,5827-3187
10.1234/altmetric216,Small Concrete Shirt,3614-5445
10.1234/altmetric217,Sleek Concrete Shoes,2569-4841
10.1234/altmetric218,Ergonomic Granite Chair,9951-9532
10.1234/altmetric22,Practical Plastic Gloves,2987-4701
10.1234/altmetric220,Awesome Rubber Pants,5454-5726
10.1234/altmetric222,Fantastic Wooden Pants,7508-7813
10.1234/altmetric224,Small Steel Hat,2257-8967
10.1234/altmetric229,Ergonomic Wooden Hat,6625-6746
10.1234/altmetric23,Rustic Wooden Gloves,1567-2301
10.1234/altmetric232,Intelligent Plastic Shoes,48668484
10.1234/altmetric235,Small Wooden Table,3244-4791
10.1234/altmetric238,Gorgeous Cotton Pants,3976-6756
10.1234/altmetric239,Small Cotton Chair,1144-3385
10.1234/altmetric24,Incredible Granite Chair,8611-3315
10.1234/altmetric246,Intelligent Cotton Shirt,4877-4668
10.1234/altmetric248,Incredible Concrete Gloves,33944393
10.1234/altmetric251,Sleek Steel Shirt,3664-6592
10.1234/altmetric252,Practical Granite Shoes,4438-7273
10.1234/altmetric252,Practical Wooden Hat,0222-9942
10.1234/altmetric253,Sleek Plastic Shirt,0452-3653
10.1234/altmetric253,Small Concrete Gloves,0156-2565
10.1234/altmetric255,Incredible Rubber Chair,8757-5584
10.1234/altmetric261,Awesome Plastic Gloves,1722-6342
10.1234/altmetric265,Awesome Granite Computer,33944393
10.1234/altmetric266,Awesome Rubber Gloves,1002-7248
10.1234/altmetric267,Awesome Plastic Chair,6567-7838
10.1234/altmetric267,Practical Wooden Table,7988-0761
10.1234/altmetric267,Small Concrete Pants,0421-2684
10.1234/altmetric268,Gorgeous Rubber Car,4352-4478
10.1234/altmetric268,Small Granite Pants,2721-9414
10.1234/altmetric269,Sleek Plastic Pants,6754-6563
10.1234/altmetric271,Incredible Plastic Hat,6322-4751
10.1234/altmetric273,Ergonomic Plastic Shoes,5188-8757
10.1234/altmetric279,Gorgeous Wooden Table,4415-5455
10.1234/altmetric286,Incredible Concrete Car,7488-7374
10.1234/altmetric287,Incredible Wooden Car,3963-7736
10.1234/altmetric289,Awesome Wooden Gloves,6785-8641
10.1234/altmetric289,Rustic Rubber Car,2435-5144
10.1234/altmetric289,Small Concrete Hat,1334-9157
10.1234/altmetric29,Intelligent Plastic Pants,2029-9252
10.1234/altmetric294,Incredible Wooden Car,2886-2562
10.1234/altmetric297,Rustic Granite Shoes,8879-3737
10.1234/altmetric299,Incredible Steel Car,7332-1173
10.1234/altmetric3,Intelligent Rubber Pants,1603-5335
10.1234/altmetric3,Practical Granite Hat,1271-8688
10.1234/altmetric3,Rustic Granite Hat,0386-5126
